,VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract,Electric_Range
0,5YJSA1DN0C,Thurston,Olympia,WA,98502.0,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,59900.0,22.0,186637195,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010600.0,265.0
1,WBY1Z6C30H,King,Bellevue,WA,98004.0,2017,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,48.0,196789610,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024001.0,81.0
2,WBY7Z6C52J,King,Kent,WA,98031.0,2018,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,11.0,221792728,POINT (-122.17743 47.41185),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029306.0,114.0
3,WBY1Z2C58F,King,Woodinville,WA,98072.0,2015,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,45.0,135735155,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021906.0,81.0
4,5YJSA1E45G,Snohomish,Bothell,WA,98012.0,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,1.0,477081811,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052107.0,210.0
5,1N4BZ0CP2H,Thurston,Olympia,WA,98506.0,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,22.0,310586839,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100.0,107.0
6,1N4BZ0CP7H,Kitsap,Poulsbo,WA,98370.0,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,23.0,167129224,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090502.0,107.0
7,5LMTJ5DZ9R,Yakima,Yakima,WA,98908.0,2024,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.0,14.0,270125369,POINT (-120.60272 46.59656),PACIFICORP,53077000401.0,28.0
8,KMHC75LJ2L,Kitsap,Bremerton,WA,98311.0,2020,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,23.0,270084895,POINT (-122.60915 47.62631),PUGET SOUND ENERGY INC,53035091900.0,170.0
9,KNDJX3AE8G,Yakima,Yakima,WA,98908.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,31950.0,14.0,169289970,POINT (-120.60272 46.59656),PACIFICORP,53077000402.0,93.0
10,WAUSPBFF7J,King,Burien,WA,98166.0,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.0,34.0,349172330,POINT (-122.34102 47.46593),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033027901.0,16.0
11,5YJSA1E26G,Kitsap,Bainbridge Island,WA,98110.0,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,23.0,140978687,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035090901.0,210.0
12,5YJSA1E16G,Kitsap,Port Orchard,WA,98367.0,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,26.0,218251925,POINT (-122.68516 47.50645),PUGET SOUND ENERGY INC,53035092902.0,210.0
13,WBY1Z2C59F,King,Seattle,WA,98107.0,2015,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,43.0,180600458,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003400.0,81.0
14,WAUTPBFF9J,Kitsap,Port Orchard,WA,98366.0,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.0,26.0,475641512,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,53035092600.0,16.0
15,KNDJX3AE2H,Skagit,Mount Vernon,WA,98274.0,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,32250.0,10.0,256040396,POINT (-122.32295 48.4152),PUGET SOUND ENERGY INC,53057952401.0,93.0
16,5YJSA1E26G,Thurston,Olympia,WA,98502.0,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,22.0,249879934,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012001.0,210.0
17,WP0AC2Y18L,King,Renton,WA,98056.0,2020,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,41.0,263258936,POINT (-122.1805 47.50006),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024703.0,192.0
18,5YJSA1E28H,King,Snoqualmie,WA,98065.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,5.0,208983841,POINT (-121.82432 47.52716),CITY OF TACOMA - (WA)||TANNER ELECTRIC COOP,53033032604.0,210.0
19,5YJSA1E23H,King,Redmond,WA,98053.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,45.0,349027073,POINT (-122.03287 47.68555),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032333.0,210.0
20,WBY1Z6C53H,Thurston,Olympia,WA,98513.0,2017,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,2.0,215761885,POINT (-122.81754 46.98876),PUGET SOUND ENERGY INC,53067012332.0,81.0
